topo,k,n,algo,traffic,inj_rate,seed,link_failures,fail_seed,latency,accepted,hops,injected
mesh,4,2,dor,hotspot,0.01,1,4,202,17.1535,0.0100359,2.99906,0.0100359
mesh,4,2,dor,hotspot,0.01,1,4,303,22.1771,0.010009,3.9997,0.0100036
mesh,4,2,dor,hotspot,0.01,1,7,101,17.203,0.0100451,3.00779,0.0100501
mesh,4,2,dor,hotspot,0.01,1,7,202,22.1771,0.010009,3.9997,0.0100036
mesh,4,2,dor,hotspot,0.01,1,7,303,17.1535,0.0100359,2.99906,0.0100359
mesh,4,2,dor,hotspot,0.01,2,0,101,19.7342,0.0099745,3.51405,0.00996667
mesh,4,2,dor,hotspot,0.01,2,0,202,19.7342,0.0099745,3.51405,0.00996667
mesh,4,2,dor,hotspot,0.01,2,0,303,19.7342,0.0099745,3.51405,0.00996667
mesh,4,2,dor,hotspot,0.01,2,1,101,22.2767,0.00999839,4.01661,0.0100017
mesh,4,2,dor,hotspot,0.01,2,1,202,19.7895,0.00998467,3.5182,0.00999411
mesh,4,2,dor,hotspot,0.01,2,1,303,22.2345,0.00996375,4.00967,0.00996048
mesh,4,2,dor,hotspot,0.01,2,2,101,19.583,0.0100281,3.48451,0.0100297
mesh,4,2,dor,hotspot,0.01,2,2,202,22.0756,0.0100148,3.97944,0.0100181
mesh,4,2,dor,hotspot,0.01,2,2,303,19.5978,0.0100016,3.48392,0.0100033
mesh,4,2,dor,hotspot,0.01,2,4,101,22.2767,0.00999839,4.01661,0.0100017
mesh,4,2,dor,hotspot,0.01,2,4,202,17.2203,0.00996552,3.01181,0.00996095
mesh,4,2,dor,hotspot,0.01,2,4,303,22.1415,0.00996324,3.99377,0.00995288
mesh,4,2,dor,hotspot,0.01,2,7,101,17.0812,0.00996076,2.98355,0.00996456
mesh,4,2,dor,hotspot,0.01,2,7,202,22.1415,0.00996324,3.99377,0.00995288
mesh,4,2,dor,hotspot,0.01,2,7,303,17.2203,0.00996552,3.01181,0.00996095
mesh,4,2,dor,hotspot,0.05,0,0,101,357.541,0,0,0.0310833
mesh,4,2,dor,hotspot,0.05,0,0,202,357.541,0,0,0.0310833
mesh,4,2,dor,hotspot,0.05,0,0,303,357.541,0,0,0.0310833
mesh,4,2,dor,hotspot,0.05,0,1,101,379.072,0,0,0.0309062
mesh,4,2,dor,hotspot,0.05,0,1,202,390.218,0,0,0.0305625
mesh,4,2,dor,hotspot,0.05,0,1,303,329.281,0,0,0.0306667
mesh,4,2,dor,hotspot,0.05,0,2,101,366.805,0,0,0.0312083
mesh,4,2,dor,hotspot,0.05,0,2,202,328.893,0,0,0.0307917
mesh,4,2,dor,hotspot,0.05,0,2,303,380.46,0,0,0.030925
mesh,4,2,dor,hotspot,0.05,0,4,101,379.072,0,0,0.0309062
mesh,4,2,dor,hotspot,0.05,0,4,202,359.09,0,0,0.031375
mesh,4,2,dor,hotspot,0.05,0,4,303,368.308,0,0,0.0306875
mesh,4,2,dor,hotspot,0.05,0,7,101,376.76,0,0,0.03125
mesh,4,2,dor,hotspot,0.05,0,7,202,368.308,0,0,0.0306875
mesh,4,2,dor,hotspot,0.05,0,7,303,359.09,0,0,0.031375
mesh,4,2,dor,hotspot,0.05,1,0,101,221.591,0,0,0.030875
mesh,4,2,dor,hotspot,0.05,1,0,202,221.591,0,0,0.030875
mesh,4,2,dor,hotspot,0.05,1,0,303,221.591,0,0,0.030875
mesh,4,2,dor,hotspot,0.05,1,1,101,419.616,0,0,0.0307187
mesh,4,2,dor,hotspot,0.05,1,1,202,349.989,0,0,0.03105
mesh,4,2,dor,hotspot,0.05,1,1,303,177.892,0,0,0.031125
mesh,4,2,dor,hotspot,0.05,1,2,101,207.45,0,0,0.030625
mesh,4,2,dor,hotspot,0.05,1,2,202,297.12,0,0,0.0305625
mesh,4,2,dor,hotspot,0.05,1,2,303,345.17,0,0,0.0309375
mesh,4,2,dor,hotspot,0.05,1,4,101,419.616,0,0,0.0307187
mesh,4,2,dor,hotspot,0.05,1,4,202,379.973,0,0,0.0314583
mesh,4,2,dor,hotspot,0.05,1,4,303,388.679,0,0,0.030875
mesh,4,2,dor,hotspot,0.05,1,7,101,375.178,0,0,0.0307083
mesh,4,2,dor,hotspot,0.05,1,7,202,388.679,0,0,0.030875
mesh,4,2,dor,hotspot,0.05,1,7,303,379.973,0,0,0.0314583
mesh,4,2,dor,hotspot,0.05,2,0,101,417.901,0,0,0.0317187
mesh,4,2,dor,hotspot,0.05,2,0,202,417.901,0,0,0.0317187
mesh,4,2,dor,hotspot,0.05,2,0,303,417.901,0,0,0.0317187
mesh,4,2,dor,hotspot,0.05,2,1,101,376.655,0,0,0.030625
mesh,4,2,dor,hotspot,0.05,2,1,202,399.396,0,0,0.0306607
mesh,4,2,dor,hotspot,0.05,2,1,303,366.205,0,0,0.0307187
mesh,4,2,dor,hotspot,0.05,2,2,101,408.073,0,0,0.0313125
mesh,4,2,dor,hotspot,0.05,2,2,202,406.287,0,0,0.030375
mesh,4,2,dor,hotspot,0.05,2,2,303,385.666,0,0,0.030775
mesh,4,2,dor,hotspot,0.05,2,4,101,376.655,0,0,0.030625
mesh,4,2,dor,hotspot,0.05,2,4,202,364.518,0,0,0.0318333
mesh,4,2,dor,hotspot,0.05,2,4,303,376.992,0,0,0.030625
mesh,4,2,dor,hotspot,0.05,2,7,101,401.389,0,0,0.0314583
mesh,4,2,dor,hotspot,0.05,2,7,202,376.992,0,0,0.030625
mesh,4,2,dor,hotspot,0.05,2,7,303,364.518,0,0,0.0318333
mesh,4,2,dor,hotspot,0.1,0,0,101,523.044,0,0,0.030625
mesh,4,2,dor,hotspot,0.1,0,0,202,523.044,0,0,0.030625
mesh,4,2,dor,hotspot,0.1,0,0,303,523.044,0,0,0.030625
mesh,4,2,dor,hotspot,0.1,0,1,101,414.84,0,0,0.031
mesh,4,2,dor,hotspot,0.1,0,1,202,324.324,0,0,0.031875
mesh,4,2,dor,hotspot,0.1,0,1,303,401.675,0,0,0.030875
mesh,4,2,dor,hotspot,0.1,0,2,101,527.244,0,0,0.03075
mesh,4,2,dor,hotspot,0.1,0,2,202,431.884,0,0,0.030875
mesh,4,2,dor,hotspot,0.1,0,2,303,355.341,0,0,0.03125
mesh,4,2,dor,hotspot,0.1,0,4,101,414.84,0,0,0.031
mesh,4,2,dor,hotspot,0.1,0,4,202,522.004,0,0,0.031625
mesh,4,2,dor,hotspot,0.1,0,4,303,430.092,0,0,0.031
mesh,4,2,dor,hotspot,0.1,0,7,101,519.892,0,0,0.031
mesh,4,2,dor,hotspot,0.1,0,7,202,430.092,0,0,0.031
mesh,4,2,dor,hotspot,0.1,0,7,303,522.004,0,0,0.031625
mesh,4,2,dor,hotspot,0.1,1,0,101,591.598,0,0,0.03125
mesh,4,2,dor,hotspot,0.1,1,0,202,591.598,0,0,0.03125
mesh,4,2,dor,hotspot,0.1,1,0,303,591.598,0,0,0.03125
mesh,4,2,dor,hotspot,0.1,1,1,101,466.671,0,0,0.031125
mesh,4,2,dor,hotspot,0.1,1,1,202,374.056,0,0,0.031125
mesh,4,2,dor,hotspot,0.1,1,1,303,477.408,0,0,0.031125
mesh,4,2,dor,hotspot,0.1,1,2,101,583.205,0,0,0.031125
mesh,4,2,dor,hotspot,0.1,1,2,202,482.151,0,0,0.031125
mesh,4,2,dor,hotspot,0.1,1,2,303,385.223,0,0,0.03075
mesh,4,2,dor,hotspot,0.1,1,4,101,466.671,0,0,0.031125
mesh,4,2,dor,hotspot,0.1,1,4,202,504.325,0,0,0.030875
mesh,4,2,dor,hotspot,0.1,1,4,303,458.5,0,0,0.031375
mesh,4,2,dor,hotspot,0.1,1,7,101,514.784,0,0,0.032
mesh,4,2,dor,hotspot,0.1,1,7,202,458.5,0,0,0.031375
mesh,4,2,dor,hotspot,0.1,1,7,303,504.325,0,0,0.030875
mesh,4,2,dor,hotspot,0.1,2,0,101,572.175,0,0,0.03125
mesh,4,2,dor,hotspot,0.1,2,0,202,572.175,0,0,0.03125
mesh,4,2,dor,hotspot,0.1,2,0,303,572.175,0,0,0.03125
mesh,4,2,dor,hotspot,0.1,2,1,101,457.948,0,0,0.031
mesh,4,2,dor,hotspot,0.1,2,1,202,351.301,0,0,0.031375
mesh,4,2,dor,hotspot,0.1,2,1,303,460.55,0,0,0.03225
mesh,4,2,dor,hotspot,0.1,2,2,101,625.765,0,0,0.031375
mesh,4,2,dor,hotspot,0.1,2,2,202,465.797,0,0,0.031875
mesh,4,2,dor,hotspot,0.1,2,2,303,374.871,0,0,0.0315
mesh,4,2,dor,hotspot,0.1,2,4,101,457.948,0,0,0.031
mesh,4,2,dor,hotspot,0.1,2,4,202,538.416,0,0,0.032
mesh,4,2,dor,hotspot,0.1,2,4,303,481.833,0,0,0.031875
mesh,4,2,dor,hotspot,0.1,2,7,101,551.52,0,0,0.032125
mesh,4,2,dor,hotspot,0.1,2,7,202,481.833,0,0,0.031875
mesh,4,2,dor,hotspot,0.1,2,7,303,538.416,0,0,0.032
mesh,4,2,dor,transpose,0.01,0,0,101,19.4818,0.00999576,3.49542,0.00999642
mesh,4,2,dor,transpose,0.01,0,0,202,19.4818,0.00999576,3.49542,0.00999642
mesh,4,2,dor,transpose,0.01,0,0,303,19.4818,0.00999576,3.49542,0.00999642
mesh,4,2,dor,transpose,0.01,0,1,101,19.4818,0.00999576,3.49542,0.00999642
mesh,4,2,dor,transpose,0.01,0,1,202,19.4818,0.00999576,3.49542,0.00999642
mesh,4,2,dor,transpose,0.01,0,1,303,19.4818,0.00999576,3.49542,0.00999642
mesh,4,2,dor,transpose,0.01,0,2,101,19.4818,0.00999576,3.49542,0.00999642
mesh,4,2,dor,transpose,0.01,0,2,202,19.4818,0.00999576,3.49542,0.00999642
mesh,4,2,dor,transpose,0.01,0,2,303,19.4818,0.00999576,3.49542,0.00999642
mesh,4,2,dor,transpose,0.01,0,4,101,19.4818,0.00999576,3.49542,0.00999642
mesh,4,2,dor,transpose,0.01,0,4,202,19.4818,0.00999576,3.49542,0.00999642
mesh,4,2,dor,transpose,0.01,0,4,303,19.4818,0.00999576,3.49542,0.00999642
mesh,4,2,dor,transpose,0.01,0,7,101,19.4818,0.00999576,3.49542,0.00999642
mesh,4,2,dor,transpose,0.01,0,7,202,19.4818,0.00999576,3.49542,0.00999642
mesh,4,2,dor,transpose,0.01,0,7,303,19.4818,0.00999576,3.49542,0.00999642
mesh,4,2,dor,transpose,0.01,1,0,101,19.5187,0.0100523,3.50289,0.0100536
mesh,4,2,dor,transpose,0.01,1,0,202,19.5187,0.0100523,3.50289,0.0100536
mesh,4,2,dor,transpose,0.01,1,0,303,19.5187,0.0100523,3.50289,0.0100536
mesh,4,2,dor,transpose,0.01,1,1,101,19.5187,0.0100523,3.50289,0.0100536
mesh,4,2,dor,transpose,0.01,1,1,202,19.5187,0.0100523,3.50289,0.0100536
mesh,4,2,dor,transpose,0.01,1,1,303,19.5187,0.0100523,3.50289,0.0100536
mesh,4,2,dor,transpose,0.01,1,2,101,19.5187,0.0100523,3.50289,0.0100536
mesh,4,2,dor,transpose,0.01,1,2,202,19.5187,0.0100523,3.50289,0.0100536
mesh,4,2,dor,transpose,0.01,1,2,303,19.5187,0.0100523,3.50289,0.0100536
mesh,4,2,dor,transpose,0.01,1,4,101,19.5187,0.0100523,3.50289,0.0100536
mesh,4,2,dor,transpose,0.01,1,4,202,19.5187,0.0100523,3.50289,0.0100536
mesh,4,2,dor,transpose,0.01,1,4,303,19.5187,0.0100523,3.50289,0.0100536
mesh,4,2,dor,transpose,0.01,1,7,101,19.5187,0.0100523,3.50289,0.0100536
mesh,4,2,dor,transpose,0.01,1,7,202,19.5187,0.0100523,3.50289,0.0100536
mesh,4,2,dor,transpose,0.01,1,7,303,19.5187,0.0100523,3.50289,0.0100536
mesh,4,2,dor,transpose,0.01,2,0,101,19.4877,0.0100655,3.49652,0.0100691
mesh,4,2,dor,transpose,0.01,2,0,202,19.4877,0.0100655,3.49652,0.0100691
mesh,4,2,dor,transpose,0.01,2,0,303,19.4877,0.0100655,3.49652,0.0100691
mesh,4,2,dor,transpose,0.01,2,1,101,19.4877,0.0100655,3.49652,0.0100691
mesh,4,2,dor,transpose,0.01,2,1,202,19.4877,0.0100655,3.49652,0.0100691
mesh,4,2,dor,transpose,0.01,2,1,303,19.4877,0.0100655,3.49652,0.0100691
mesh,4,2,dor,transpose,0.01,2,2,101,19.4877,0.0100655,3.49652,0.0100691
mesh,4,2,dor,transpose,0.01,2,2,202,19.4877,0.0100655,3.49652,0.0100691
mesh,4,2,dor,transpose,0.01,2,2,303,19.4877,0.0100655,3.49652,0.0100691
mesh,4,2,dor,transpose,0.01,2,4,101,19.4877,0.0100655,3.49652,0.0100691
mesh,4,2,dor,transpose,0.01,2,4,202,19.4877,0.0100655,3.49652,0.0100691
mesh,4,2,dor,transpose,0.01,2,4,303,19.4877,0.0100655,3.49652,0.0100691
mesh,4,2,dor,transpose,0.01,2,7,101,19.4877,0.0100655,3.49652,0.0100691
mesh,4,2,dor,transpose,0.01,2,7,202,19.4877,0.0100655,3.49652,0.0100691
mesh,4,2,dor,transpose,0.01,2,7,303,19.4877,0.0100655,3.49652,0.0100691
mesh,4,2,dor,transpose,0.05,0,0,101,19.5802,0.0501167,3.49878,0.0501167
mesh,4,2,dor,transpose,0.05,0,0,202,19.5802,0.0501167,3.49878,0.0501167
mesh,4,2,dor,transpose,0.05,0,0,303,19.5802,0.0501167,3.49878,0.0501167
mesh,4,2,dor,transpose,0.05,0,1,101,19.5802,0.0501167,3.49878,0.0501167
mesh,4,2,dor,transpose,0.05,0,1,202,19.5802,0.0501167,3.49878,0.0501167
mesh,4,2,dor,transpose,0.05,0,1,303,19.5802,0.0501167,3.49878,0.0501167
mesh,4,2,dor,transpose,0.05,0,2,101,19.5802,0.0501167,3.49878,0.0501167
mesh,4,2,dor,transpose,0.05,0,2,202,19.5802,0.0501167,3.49878,0.0501167
mesh,4,2,dor,transpose,0.05,0,2,303,19.5802,0.0501167,3.49878,0.0501167
mesh,4,2,dor,transpose,0.05,0,4,101,19.5802,0.0501167,3.49878,0.0501167
mesh,4,2,dor,transpose,0.05,0,4,202,19.5802,0.0501167,3.49878,0.0501167
mesh,4,2,dor,transpose,0.05,0,4,303,19.5802,0.0501167,3.49878,0.0501167
mesh,4,2,dor,transpose,0.05,0,7,101,19.5802,0.0501167,3.49878,0.0501167
mesh,4,2,dor,transpose,0.05,0,7,202,19.5802,0.0501167,3.49878,0.0501167
mesh,4,2,dor,transpose,0.05,0,7,303,19.5802,0.0501167,3.49878,0.0501167
mesh,4,2,dor,transpose,0.05,1,0,101,19.5759,0.0500459,3.49658,0.0500364
mesh,4,2,dor,transpose,0.05,1,0,202,19.5759,0.0500459,3.49658,0.0500364
mesh,4,2,dor,transpose,0.05,1,0,303,19.5759,0.0500459,3.49658,0.0500364
mesh,4,2,dor,transpose,0.05,1,1,101,19.5759,0.0500459,3.49658,0.0500364
mesh,4,2,dor,transpose,0.05,1,1,202,19.5759,0.0500459,3.49658,0.0500364
mesh,4,2,dor,transpose,0.05,1,1,303,19.5759,0.0500459,3.49658,0.0500364
mesh,4,2,dor,transpose,0.05,1,2,101,19.5759,0.0500459,3.49658,0.0500364
mesh,4,2,dor,transpose,0.05,1,2,202,19.5759,0.0500459,3.49658,0.0500364
mesh,4,2,dor,transpose,0.05,1,2,303,19.5759,0.0500459,3.49658,0.0500364
mesh,4,2,dor,transpose,0.05,1,4,101,19.5759,0.0500459,3.49658,0.0500364
mesh,4,2,dor,transpose,0.05,1,4,202,19.5759,0.0500459,3.49658,0.0500364
mesh,4,2,dor,transpose,0.05,1,4,303,19.5759,0.0500459,3.49658,0.0500364
mesh,4,2,dor,transpose,0.05,1,7,101,19.5759,0.0500459,3.49658,0.0500364
mesh,4,2,dor,transpose,0.05,1,7,202,19.5759,0.0500459,3.49658,0.0500364
mesh,4,2,dor,transpose,0.05,1,7,303,19.5759,0.0500459,3.49658,0.0500364
mesh,4,2,dor,transpose,0.05,2,0,101,19.5197,0.0500806,3.48709,0.0500923
mesh,4,2,dor,transpose,0.05,2,0,202,19.5197,0.0500806,3.48709,0.0500923
mesh,4,2,dor,transpose,0.05,2,0,303,19.5197,0.0500806,3.48709,0.0500923
mesh,4,2,dor,transpose,0.05,2,1,101,19.5197,0.0500806,3.48709,0.0500923
mesh,4,2,dor,transpose,0.05,2,1,202,19.5197,0.0500806,3.48709,0.0500923
mesh,4,2,dor,transpose,0.05,2,1,303,19.5197,0.0500806,3.48709,0.0500923
mesh,4,2,dor,transpose,0.05,2,2,101,19.5197,0.0500806,3.48709,0.0500923
mesh,4,2,dor,transpose,0.05,2,2,202,19.5197,0.0500806,3.48709,0.0500923
mesh,4,2,dor,transpose,0.05,2,2,303,19.5197,0.0500806,3.48709,0.0500923
mesh,4,2,dor,transpose,0.05,2,4,101,19.5197,0.0500806,3.48709,0.0500923
mesh,4,2,dor,transpose,0.05,2,4,202,19.5197,0.0500806,3.48709,0.0500923
mesh,4,2,dor,transpose,0.05,2,4,303,19.5197,0.0500806,3.48709,0.0500923
mesh,4,2,dor,transpose,0.05,2,7,101,19.5197,0.0500806,3.48709,0.0500923
mesh,4,2,dor,transpose,0.05,2,7,202,19.5197,0.0500806,3.48709,0.0500923
mesh,4,2,dor,transpose,0.05,2,7,303,19.5197,0.0500806,3.48709,0.0500923
mesh,4,2,dor,transpose,0.1,0,0,101,20.4389,0.100054,3.49102,0.100064
mesh,4,2,dor,transpose,0.1,0,0,202,20.4389,0.100054,3.49102,0.100064
mesh,4,2,dor,transpose,0.1,0,0,303,20.4389,0.100054,3.49102,0.100064
mesh,4,2,dor,transpose,0.1,0,1,101,20.4389,0.100054,3.49102,0.100064
mesh,4,2,dor,transpose,0.1,0,1,202,20.4389,0.100054,3.49102,0.100064
mesh,4,2,dor,transpose,0.1,0,1,303,20.4389,0.100054,3.49102,0.100064
mesh,4,2,dor,transpose,0.1,0,2,101,20.4389,0.100054,3.49102,0.100064
mesh,4,2,dor,transpose,0.1,0,2,202,20.4389,0.100054,3.49102,0.100064
mesh,4,2,dor,transpose,0.1,0,2,303,20.4389,0.100054,3.49102,0.100064
mesh,4,2,dor,transpose,0.1,0,4,101,20.4389,0.100054,3.49102,0.100064
mesh,4,2,dor,transpose,0.1,0,4,202,20.4389,0.100054,3.49102,0.100064
mesh,4,2,dor,transpose,0.1,0,4,303,20.4389,0.100054,3.49102,0.100064
mesh,4,2,dor,transpose,0.1,0,7,101,20.4389,0.100054,3.49102,0.100064
mesh,4,2,dor,transpose,0.1,0,7,202,20.4389,0.100054,3.49102,0.100064
mesh,4,2,dor,transpose,0.1,0,7,303,20.4389,0.100054,3.49102,0.100064
mesh,4,2,dor,transpose,0.1,1,0,101,20.46,0.100239,3.49248,0.100323
mesh,4,2,dor,transpose,0.1,1,0,202,20.46,0.100239,3.49248,0.100323
mesh,4,2,dor,transpose,0.1,1,0,303,20.46,0.100239,3.49248,0.100323
mesh,4,2,dor,transpose,0.1,1,1,101,20.46,0.100239,3.49248,0.100323
mesh,4,2,dor,transpose,0.1,1,1,202,20.46,0.100239,3.49248,0.100323
mesh,4,2,dor,transpose,0.1,1,1,303,20.46,0.100239,3.49248,0.100323
mesh,4,2,dor,transpose,0.1,1,2,101,20.46,0.100239,3.49248,0.100323
mesh,4,2,dor,transpose,0.1,1,2,202,20.46,0.100239,3.49248,0.100323
mesh,4,2,dor,transpose,0.1,1,2,303,20.46,0.100239,3.49248,0.100323
mesh,4,2,dor,transpose,0.1,1,4,101,20.46,0.100239,3.49248,0.100323
mesh,4,2,dor,transpose,0.1,1,4,202,20.46,0.100239,3.49248,0.100323
mesh,4,2,dor,transpose,0.1,1,4,303,20.46,0.100239,3.49248,0.100323
mesh,4,2,dor,transpose,0.1,1,7,101,20.46,0.100239,3.49248,0.100323
mesh,4,2,dor,transpose,0.1,1,7,202,20.46,0.100239,3.49248,0.100323
mesh,4,2,dor,transpose,0.1,1,7,303,20.46,0.100239,3.49248,0.100323
mesh,4,2,dor,transpose,0.1,2,0,101,20.4088,0.100378,3.49185,0.1004
mesh,4,2,dor,transpose,0.1,2,0,202,20.4088,0.100378,3.49185,0.1004
mesh,4,2,dor,transpose,0.1,2,0,303,20.4088,0.100378,3.49185,0.1004
mesh,4,2,dor,transpose,0.1,2,1,101,20.4088,0.100378,3.49185,0.1004
mesh,4,2,dor,transpose,0.1,2,1,202,20.4088,0.100378,3.49185,0.1004
mesh,4,2,dor,transpose,0.1,2,1,303,20.4088,0.100378,3.49185,0.1004
mesh,4,2,dor,transpose,0.1,2,2,101,20.4088,0.100378,3.49185,0.1004
mesh,4,2,dor,transpose,0.1,2,2,202,20.4088,0.100378,3.49185,0.1004
mesh,4,2,dor,transpose,0.1,2,2,303,20.4088,0.100378,3.49185,0.1004
mesh,4,2,dor,transpose,0.1,2,4,101,20.4088,0.100378,3.49185,0.1004
mesh,4,2,dor,transpose,0.1,2,4,202,20.4088,0.100378,3.49185,0.1004
mesh,4,2,dor,transpose,0.1,2,4,303,20.4088,0.100378,3.49185,0.1004
mesh,4,2,dor,transpose,0.1,2,7,101,20.4088,0.100378,3.49185,0.1004
mesh,4,2,dor,transpose,0.1,2,7,202,20.4088,0.100378,3.49185,0.1004
mesh,4,2,dor,transpose,0.1,2,7,303,20.4088,0.100378,3.49185,0.1004
mesh,4,2,dor,uniform,0.01,0,0,101,19.4657,0.00993358,3.49144,0.00993835
mesh,4,2,dor,uniform,0.01,0,0,202,19.4657,0.00993358,3.49144,0.00993835
mesh,4,2,dor,uniform,0.01,0,0,303,19.4657,0.00993358,3.49144,0.00993835
mesh,4,2,dor,uniform,0.01,0,1,101,19.4657,0.00993358,3.49144,0.00993835
mesh,4,2,dor,uniform,0.01,0,1,202,19.4657,0.00993358,3.49144,0.00993835
mesh,4,2,dor,uniform,0.01,0,1,303,19.4657,0.00993358,3.49144,0.00993835
mesh,4,2,dor,uniform,0.01,0,2,101,19.4657,0.00993358,3.49144,0.00993835
mesh,4,2,dor,uniform,0.01,0,2,202,19.4657,0.00993358,3.49144,0.00993835
mesh,4,2,dor,uniform,0.01,0,2,303,19.4657,0.00993358,3.49144,0.00993835
mesh,4,2,dor,uniform,0.01,0,4,101,19.4657,0.00993358,3.49144,0.00993835
mesh,4,2,dor,uniform,0.01,0,4,202,19.4657,0.00993358,3.49144,0.00993835
mesh,4,2,dor,uniform,0.01,0,4,303,19.4657,0.00993358,3.49144,0.00993835
mesh,4,2,dor,uniform,0.01,0,7,101,19.4657,0.00993358,3.49144,0.00993835
mesh,4,2,dor,uniform,0.01,0,7,202,19.4657,0.00993358,3.49144,0.00993835
mesh,4,2,dor,uniform,0.01,0,7,303,19.4657,0.00993358,3.49144,0.00993835
mesh,4,2,dor,uniform,0.01,1,0,101,19.3954,0.0100772,3.47775,0.0100784
mesh,4,2,dor,uniform,0.01,1,0,202,19.3954,0.0100772,3.47775,0.0100784
mesh,4,2,dor,uniform,0.01,1,0,303,19.3954,0.0100772,3.47775,0.0100784
mesh,4,2,dor,uniform,0.01,1,1,101,19.3954,0.0100772,3.47775,0.0100784
mesh,4,2,dor,uniform,0.01,1,1,202,19.3954,0.0100772,3.47775,0.0100784
mesh,4,2,dor,uniform,0.01,1,1,303,19.3954,0.0100772,3.47775,0.0100784
mesh,4,2,dor,uniform,0.01,1,2,101,19.3954,0.0100772,3.47775,0.0100784
mesh,4,2,dor,uniform,0.01,1,2,202,19.3954,0.0100772,3.47775,0.0100784
mesh,4,2,dor,uniform,0.01,1,2,303,19.3954,0.0100772,3.47775,0.0100784
mesh,4,2,dor,uniform,0.01,1,4,101,19.3954,0.0100772,3.47775,0.0100784
mesh,4,2,dor,uniform,0.01,1,4,202,19.3954,0.0100772,3.47775,0.0100784
mesh,4,2,dor,uniform,0.01,1,4,303,19.3954,0.0100772,3.47775,0.0100784
mesh,4,2,dor,uniform,0.01,1,7,101,19.3954,0.0100772,3.47775,0.0100784
mesh,4,2,dor,uniform,0.01,1,7,202,19.3954,0.0100772,3.47775,0.0100784
mesh,4,2,dor,uniform,0.01,1,7,303,19.3954,0.0100772,3.47775,0.0100784
mesh,4,2,dor,uniform,0.01,2,0,101,19.5303,0.0100364,3.50452,0.0100419
mesh,4,2,dor,uniform,0.01,2,0,202,19.5303,0.0100364,3.50452,0.0100419
mesh,4,2,dor,uniform,0.01,2,0,303,19.5303,0.0100364,3.50452,0.0100419
mesh,4,2,dor,uniform,0.01,2,1,101,19.5303,0.0100364,3.50452,0.0100419
mesh,4,2,dor,uniform,0.01,2,1,202,19.5303,0.0100364,3.50452,0.0100419
mesh,4,2,dor,uniform,0.01,2,1,303,19.5303,0.0100364,3.50452,0.0100419
mesh,4,2,dor,uniform,0.01,2,2,101,19.5303,0.0100364,3.50452,0.0100419
mesh,4,2,dor,uniform,0.01,2,2,202,19.5303,0.0100364,3.50452,0.0100419
mesh,4,2,dor,uniform,0.01,2,2,303,19.5303,0.0100364,3.50452,0.0100419
mesh,4,2,dor,uniform,0.01,2,4,101,19.5303,0.0100364,3.50452,0.0100419
mesh,4,2,dor,uniform,0.01,2,4,202,19.5303,0.0100364,3.50452,0.0100419
mesh,4,2,dor,uniform,0.01,2,4,303,19.5303,0.0100364,3.50452,0.0100419
