algorithm,traffic,injection_rate,seed,latency
GNN-Weighted,transpose,0.2,44,20.5578
GNN-Weighted,transpose,0.3,42,21.6028
GNN-Weighted,transpose,0.3,43,21.5399
GNN-Weighted,transpose,0.3,44,21.5212
GNN-Weighted,transpose,0.4,42,22.7981
GNN-Weighted,transpose,0.4,43,22.7438
GNN-Weighted,transpose,0.4,44,22.6973
GNN-Weighted,transpose,0.5,42,24.5351
GNN-Weighted,transpose,0.5,43,24.3805
GNN-Weighted,transpose,0.5,44,24.4375
GNN-Weighted,hotspot,0.05,42,25.5761
GNN-Weighted,hotspot,0.05,43,25.7031
GNN-Weighted,hotspot,0.05,44,25.4211
GNN-Weighted,hotspot,0.1,42,2004.93
GNN-Weighted,hotspot,0.1,43,1949.42
GNN-Weighted,hotspot,0.1,44,2009.33
GNN-Weighted,hotspot,0.2,42,4439.33
GNN-Weighted,hotspot,0.2,43,4448.59
GNN-Weighted,hotspot,0.2,44,4538.36
GNN-Weighted,hotspot,0.3,42,5138.49
GNN-Weighted,hotspot,0.3,43,5181.5
GNN-Weighted,hotspot,0.3,44,5237.39
GNN-Weighted,hotspot,0.4,42,5963.74
GNN-Weighted,hotspot,0.4,43,5963.68
GNN-Weighted,hotspot,0.4,44,6071.35
GNN-Weighted,hotspot,0.5,42,6794.81
GNN-Weighted,hotspot,0.5,43,6783.03
GNN-Weighted,hotspot,0.5,44,6818.95
Adaptive XY-YX,transpose,0.2,44,19.8821
Adaptive XY-YX,transpose,0.3,42,20.3994
Adaptive XY-YX,transpose,0.3,43,20.3591
Adaptive XY-YX,transpose,0.3,44,20.3335
Adaptive XY-YX,transpose,0.4,42,21.0295
Adaptive XY-YX,transpose,0.4,43,21.0151
Adaptive XY-YX,transpose,0.4,44,20.9728
Adaptive XY-YX,transpose,0.5,42,22.3201
Adaptive XY-YX,transpose,0.5,43,22.2132
Adaptive XY-YX,transpose,0.5,44,22.2202
Adaptive XY-YX,hotspot,0.01,42,19.6095
Adaptive XY-YX,hotspot,0.01,43,19.6313
Adaptive XY-YX,hotspot,0.01,44,19.5037
Adaptive XY-YX,hotspot,0.05,42,22.0493
Adaptive XY-YX,hotspot,0.05,43,22.0517
Adaptive XY-YX,hotspot,0.05,44,22.0054
Adaptive XY-YX,hotspot,0.1,42,1849.9
Adaptive XY-YX,hotspot,0.1,43,1718.16
Adaptive XY-YX,hotspot,0.1,44,1782.55
Adaptive XY-YX,hotspot,0.2,42,3205.73
Adaptive XY-YX,hotspot,0.2,43,3155.04
Adaptive XY-YX,hotspot,0.2,44,3196.08
Adaptive XY-YX,hotspot,0.3,42,4545.42
Adaptive XY-YX,hotspot,0.3,43,4438.51
Adaptive XY-YX,hotspot,0.3,44,4558.31
Adaptive XY-YX,hotspot,0.4,42,5897.49
Adaptive XY-YX,hotspot,0.4,43,5868.77
Adaptive XY-YX,hotspot,0.4,44,5961.73
Adaptive XY-YX,hotspot,0.5,42,6737.55
Adaptive XY-YX,hotspot,0.5,43,6708.24
Adaptive XY-YX,hotspot,0.5,44,6756.1
GNN-Weighted,uniform,0.01,42,19.4792
GNN-Weighted,uniform,0.01,43,19.497
GNN-Weighted,uniform,0.01,44,19.5461
GNN-Weighted,uniform,0.05,42,19.6032
GNN-Weighted,uniform,0.05,43,19.5741
GNN-Weighted,uniform,0.05,44,19.6818
GNN-Weighted,uniform,0.1,42,19.7705
GNN-Weighted,uniform,0.1,43,19.7235
GNN-Weighted,uniform,0.1,44,19.7035
GNN-Weighted,uniform,0.2,42,20.0948
GNN-Weighted,uniform,0.2,43,20.0894
GNN-Weighted,uniform,0.2,44,20.0821
GNN-Weighted,uniform,0.3,42,20.6333
GNN-Weighted,uniform,0.3,43,20.6075
GNN-Weighted,uniform,0.3,44,20.5972
GNN-Weighted,uniform,0.4,42,21.467
GNN-Weighted,uniform,0.4,43,21.4425
GNN-Weighted,uniform,0.4,44,21.4565
GNN-Weighted,uniform,0.5,42,22.9558
GNN-Weighted,uniform,0.5,43,23.0039
GNN-Weighted,uniform,0.5,44,23.0053
GNN-Weighted,transpose,0.01,42,19.6026
GNN-Weighted,transpose,0.01,43,19.4824
GNN-Weighted,transpose,0.01,44,19.4719
GNN-Weighted,transpose,0.05,42,19.6515
GNN-Weighted,transpose,0.05,43,19.6412
GNN-Weighted,transpose,0.05,44,19.5774
GNN-Weighted,transpose,0.1,42,19.9282
GNN-Weighted,transpose,0.1,43,19.846
GNN-Weighted,transpose,0.1,44,19.8486
GNN-Weighted,transpose,0.2,42,20.6693
GNN-Weighted,transpose,0.2,43,20.583
GNN-Weighted,transpose,0.2,44,20.6979
GNN-Weighted,transpose,0.3,42,21.5922
GNN-Weighted,transpose,0.3,43,21.5399
GNN-Weighted,transpose,0.3,44,21.5466
GNN-Weighted,transpose,0.4,42,22.7981
GNN-Weighted,transpose,0.4,43,22.7438
GNN-Weighted,transpose,0.4,44,22.6973
GNN-Weighted,transpose,0.5,42,24.487
