timestamp,topology,algorithm,traffic,inj_rate,seed,avg_latency,min_latency,max_latency,status
20260514-222045,mesh44,min_adapt,uniform,0.1,42,20.6625,NA,NA,OK
20260514-222046,mesh44,min_adapt,uniform,0.1,123,20.8008,NA,NA,OK
20260514-222046,mesh44,min_adapt,uniform,0.1,456,20.3528,NA,NA,OK
20260514-222046,mesh44,min_adapt,uniform,0.1,789,20.8017,NA,NA,OK
20260514-222047,mesh44,min_adapt,uniform,0.1,999,20.6319,NA,NA,OK
20260514-222047,mesh44,min_adapt,uniform,0.2,42,22.0964,NA,NA,OK
20260514-222047,mesh44,min_adapt,uniform,0.2,123,22.1971,NA,NA,OK
20260514-222048,mesh44,min_adapt,uniform,0.2,456,21.8733,NA,NA,OK
20260514-222048,mesh44,min_adapt,uniform,0.2,789,22.0675,NA,NA,OK
20260514-222049,mesh44,min_adapt,uniform,0.2,999,21.9558,NA,NA,OK
20260514-222049,mesh44,min_adapt,uniform,0.3,42,24.6804,NA,NA,OK
20260514-222050,mesh44,min_adapt,uniform,0.3,123,24.752,NA,NA,OK
20260514-222051,mesh44,min_adapt,uniform,0.3,456,24.8022,NA,NA,OK
20260514-222051,mesh44,min_adapt,uniform,0.3,789,25.51,NA,NA,OK
20260514-222052,mesh44,min_adapt,uniform,0.3,999,24.169,NA,NA,OK
20260514-222053,mesh44,min_adapt,uniform,0.35,42,42.4845,NA,NA,OK
20260514-222054,mesh44,min_adapt,uniform,0.35,123,40.4038,NA,NA,OK
20260514-222055,mesh44,min_adapt,uniform,0.35,456,37.9778,NA,NA,OK
20260514-222056,mesh44,min_adapt,uniform,0.35,789,41.0382,NA,NA,OK
20260514-222057,mesh44,min_adapt,uniform,0.35,999,35.6867,NA,NA,OK
20260514-222058,mesh44,min_adapt,uniform,0.4,42,125.273,NA,NA,OK
20260514-222059,mesh44,min_adapt,uniform,0.4,123,124.133,NA,NA,OK
20260514-222059,mesh44,min_adapt,uniform,0.4,456,124.281,NA,NA,OK
20260514-222059,mesh44,min_adapt,uniform,0.4,789,128.059,NA,NA,OK
20260514-222100,mesh44,min_adapt,uniform,0.4,999,113.099,NA,NA,OK
20260514-222100,mesh44,min_adapt,uniform,0.45,42,214.438,NA,NA,OK
20260514-222101,mesh44,min_adapt,uniform,0.45,123,223.477,NA,NA,OK
20260514-222101,mesh44,min_adapt,uniform,0.45,456,215.26,NA,NA,OK
20260514-222101,mesh44,min_adapt,uniform,0.45,789,222.779,NA,NA,OK
20260514-222102,mesh44,min_adapt,uniform,0.45,999,213.63,NA,NA,OK
20260514-222102,mesh44,min_adapt,hotspot,0.01,42,18.571,NA,NA,OK
20260514-222102,mesh44,min_adapt,hotspot,0.01,123,20.3797,NA,NA,OK
20260514-222102,mesh44,min_adapt,hotspot,0.01,456,20.4759,NA,NA,OK
20260514-222102,mesh44,min_adapt,hotspot,0.01,789,20.2206,NA,NA,OK
20260514-222102,mesh44,min_adapt,hotspot,0.01,999,20.0092,NA,NA,OK
20260514-222103,mesh44,min_adapt,hotspot,0.05,42,106.483,NA,NA,OK
20260514-222103,mesh44,min_adapt,hotspot,0.05,123,97.671,NA,NA,OK
20260514-222103,mesh44,min_adapt,hotspot,0.05,456,135.922,NA,NA,OK
20260514-222103,mesh44,min_adapt,hotspot,0.05,789,101.306,NA,NA,OK
20260514-222103,mesh44,min_adapt,hotspot,0.05,999,105.271,NA,NA,OK
20260514-222103,mesh44,min_adapt,hotspot,0.1,42,353.831,NA,NA,OK
