topo,k,n,algo,traffic,inj_rate,seed,latency,accepted,hops,injected
mesh,4,2,romm,hotspot,0.3,3,734.352,0,0,0.0350312
mesh,4,2,romm,hotspot,0.3,4,691.317,0,0,0.0347812
mesh,4,2,romm,transpose,0.01,0,19.5555,0.0099992,3.50721,0.0100106
mesh,4,2,romm,transpose,0.01,1,19.5457,0.0099871,3.50535,0.0099859
mesh,4,2,romm,transpose,0.01,2,19.5757,0.0100165,3.51151,0.0100178
mesh,4,2,romm,transpose,0.01,3,19.5334,0.0100324,3.50303,0.010031
mesh,4,2,romm,transpose,0.01,4,19.52,0.0100179,3.50052,0.0100172
mesh,4,2,romm,transpose,0.02,0,19.5544,0.0199615,3.4981,0.0199575
mesh,4,2,romm,transpose,0.02,1,19.6217,0.0200587,3.51057,0.0200575
mesh,4,2,romm,transpose,0.02,2,19.5422,0.0200078,3.4954,0.0200156
mesh,4,2,romm,transpose,0.02,3,19.57,0.0200559,3.50044,0.0200508
mesh,4,2,romm,transpose,0.02,4,19.552,0.0200237,3.49716,0.0200234
mesh,4,2,romm,transpose,0.05,0,19.9368,0.0499774,3.50729,0.0499734
mesh,4,2,romm,transpose,0.05,1,19.8837,0.0501269,3.49887,0.0501315
mesh,4,2,romm,transpose,0.05,2,19.8521,0.0500563,3.49275,0.0500584
mesh,4,2,romm,transpose,0.05,3,19.8691,0.0500476,3.49549,0.0500448
mesh,4,2,romm,transpose,0.05,4,19.9188,0.0500729,3.50388,0.0500773
mesh,4,2,romm,transpose,0.1,0,21.9618,0.0998186,3.50022,0.0998193
mesh,4,2,romm,transpose,0.1,1,21.972,0.1001,3.49907,0.100108
mesh,4,2,romm,transpose,0.1,2,21.9381,0.0998939,3.50249,0.0999033
mesh,4,2,romm,transpose,0.1,3,21.9304,0.099918,3.50065,0.0999308
mesh,4,2,romm,transpose,0.1,4,21.9434,0.100022,3.5013,0.0999964
mesh,4,2,romm,transpose,0.2,0,517.863,0,0,0.172073
mesh,4,2,romm,transpose,0.2,1,525.282,0,0,0.173237
mesh,4,2,romm,transpose,0.2,2,503.513,0,0,0.171662
mesh,4,2,romm,transpose,0.2,3,531.466,0,0,0.168425
mesh,4,2,romm,transpose,0.2,4,502.754,0,0,0.171625
mesh,4,2,romm,transpose,0.3,0,598.062,0,0,0.20875
mesh,4,2,romm,transpose,0.3,1,604.859,0,0,0.21
mesh,4,2,romm,transpose,0.3,2,562.951,0,0,0.208063
mesh,4,2,romm,transpose,0.3,3,596.695,0,0,0.204063
mesh,4,2,romm,transpose,0.3,4,612.133,0,0,0.212375
mesh,4,2,romm,uniform,0.01,0,19.5817,0.00998537,3.5128,0.00998555
mesh,4,2,romm,uniform,0.01,1,19.4719,0.0100172,3.49114,0.0100192
mesh,4,2,romm,uniform,0.01,2,19.5182,0.0100471,3.50022,0.0100462
mesh,4,2,romm,uniform,0.01,3,19.5011,0.0100046,3.49698,0.0100072
mesh,4,2,romm,uniform,0.01,4,19.5256,0.0100528,3.50162,0.0100463
mesh,4,2,romm,uniform,0.02,0,19.5746,0.0199567,3.50521,0.0199576
mesh,4,2,romm,uniform,0.02,1,19.585,0.0200202,3.50733,0.0200119
mesh,4,2,romm,uniform,0.02,2,19.5737,0.0200077,3.50542,0.0199974
mesh,4,2,romm,uniform,0.02,3,19.5417,0.0200684,3.49911,0.0200517
mesh,4,2,romm,uniform,0.02,4,19.5619,0.020025,3.50291,0.0200248
mesh,4,2,romm,uniform,0.05,0,19.736,0.0499217,3.50261,0.0499232
mesh,4,2,romm,uniform,0.05,1,19.7272,0.0502218,3.50034,0.0502269
mesh,4,2,romm,uniform,0.05,2,19.7193,0.0499308,3.5002,0.0499129
mesh,4,2,romm,uniform,0.05,3,19.7111,0.0500701,3.49824,0.0500567
mesh,4,2,romm,uniform,0.05,4,19.721,0.0500288,3.49927,0.0500234
mesh,4,2,romm,uniform,0.1,0,20.3512,0.100082,3.49852,0.100074
mesh,4,2,romm,uniform,0.1,1,20.3628,0.100159,3.50137,0.10017
mesh,4,2,romm,uniform,0.1,2,20.3612,0.100105,3.5002,0.100086
mesh,4,2,romm,uniform,0.1,3,20.3573,0.100004,3.49993,0.100017
mesh,4,2,romm,uniform,0.1,4,20.3442,0.0999962,3.49932,0.099987
mesh,4,2,romm,uniform,0.3,0,739.002,0,0,0.189375
mesh,4,2,romm,uniform,0.3,1,685.884,0,0,0.211625
mesh,4,2,romm,uniform,0.3,2,732.942,0,0,0.207687
mesh,4,2,romm,uniform,0.3,3,655.677,0,0,0.190125
mesh,4,2,romm,uniform,0.3,4,719.815,0,0,0.200937
mesh,4,2,valiant,hotspot,0.01,0,32.7506,0.00998818,5.99747,0.00998137
mesh,4,2,valiant,hotspot,0.01,1,32.7803,0.0100162,6.00731,0.0100193
mesh,4,2,valiant,hotspot,0.01,2,32.6942,0.0100321,5.99006,0.01003
mesh,4,2,valiant,hotspot,0.01,3,32.7343,0.0100484,6.00032,0.010052
mesh,4,2,valiant,hotspot,0.01,4,32.7376,0.0100398,5.99276,0.0100439
mesh,4,2,valiant,hotspot,0.02,0,38.5479,0.0199915,6.00711,0.0199795
mesh,4,2,valiant,hotspot,0.02,1,38.2026,0.0200194,5.99282,0.0200228
mesh,4,2,valiant,hotspot,0.02,2,38.3908,0.0199661,5.99889,0.0199553
mesh,4,2,valiant,hotspot,0.02,3,38.4346,0.020095,6.00143,0.0200961
mesh,4,2,valiant,hotspot,0.02,4,38.4567,0.0199819,5.99457,0.0199917
mesh,4,2,valiant,hotspot,0.05,0,720.474,0,0,0.026375
mesh,4,2,valiant,hotspot,0.05,1,623.743,0,0,0.02175
mesh,4,2,valiant,hotspot,0.05,2,594.387,0,0,0.02375
mesh,4,2,valiant,hotspot,0.05,3,893.949,0,0,0.0241875
mesh,4,2,valiant,hotspot,0.05,4,809.918,0,0,0.0248125
mesh,4,2,valiant,hotspot,0.1,0,460.665,0,0,0.0276875
mesh,4,2,valiant,hotspot,0.1,1,489.766,0,0,0.0265937
mesh,4,2,valiant,hotspot,0.1,2,552.756,0,0,0.0285
mesh,4,2,valiant,hotspot,0.1,3,548.383,0,0,0.0277813
mesh,4,2,valiant,hotspot,0.1,4,533.35,0,0,0.0280625
mesh,4,2,valiant,hotspot,0.2,0,385.573,0,0,0.0318125
mesh,4,2,valiant,hotspot,0.2,1,385.83,0,0,0.0330625
mesh,4,2,valiant,hotspot,0.2,2,392.857,0,0,0.03525
mesh,4,2,valiant,hotspot,0.2,3,755.908,0,0,0.0279375
mesh,4,2,valiant,hotspot,0.2,4,389.312,0,0,0.0354375
mesh,4,2,valiant,hotspot,0.3,0,411.402,0,0,0.0315625
mesh,4,2,valiant,hotspot,0.3,1,404.803,0,0,0.032625
mesh,4,2,valiant,hotspot,0.3,2,407.865,0,0,0.0335
mesh,4,2,valiant,hotspot,0.3,3,420.815,0,0,0.03375
mesh,4,2,valiant,hotspot,0.3,4,410.209,0,0,0.0360625
mesh,4,2,valiant,transpose,0.01,0,32.0904,0.00996619,6.00548,0.00996045
mesh,4,2,valiant,transpose,0.01,1,32.125,0.00999942,6.01162,0.00999556
mesh,4,2,valiant,transpose,0.01,2,31.9466,0.0100127,5.97691,0.01001
mesh,4,2,valiant,transpose,0.01,3,32.0458,0.0100653,5.99619,0.0100568
mesh,4,2,valiant,transpose,0.01,4,32.0867,0.0100148,6.00435,0.0100227
mesh,4,2,valiant,transpose,0.02,0,32.2241,0.0199994,6.00332,0.0199942
