algo,traffic,inj_rate,seed,latency
gnn_ppo_route_4x4,transpose,0.05,2,19.6277
gnn_ppo_route_4x4,transpose,0.05,3,19.6549
gnn_ppo_route_4x4,transpose,0.05,4,19.6879
gnn_ppo_route_4x4,transpose,0.1,0,41.3358
gnn_ppo_route_4x4,transpose,0.1,1,46.5344
gnn_ppo_route_4x4,transpose,0.1,2,44.9036
gnn_ppo_route_4x4,transpose,0.1,3,43.3129
gnn_ppo_route_4x4,transpose,0.1,4,44.121
gnn_ppo_route_4x4,transpose,0.2,0,522.727
gnn_ppo_route_4x4,transpose,0.2,1,524.855
gnn_ppo_route_4x4,transpose,0.2,2,511.475
gnn_ppo_route_4x4,transpose,0.2,3,485.961
gnn_ppo_route_4x4,transpose,0.2,4,531.606
gnn_ppo_route_4x4,transpose,0.3,0,525.147
gnn_ppo_route_4x4,transpose,0.3,1,489.266
gnn_ppo_route_4x4,transpose,0.3,2,538.305
gnn_ppo_route_4x4,transpose,0.3,3,514.538
gnn_ppo_route_4x4,transpose,0.3,4,544.713
gnn_ppo_route_4x4,uniform,0.01,0,19.5104
gnn_ppo_route_4x4,uniform,0.01,1,19.5176
gnn_ppo_route_4x4,uniform,0.01,2,19.5187
gnn_ppo_route_4x4,uniform,0.01,3,19.5142
gnn_ppo_route_4x4,uniform,0.01,4,19.5364
gnn_ppo_route_4x4,uniform,0.02,0,19.5342
gnn_ppo_route_4x4,uniform,0.02,1,19.4959
gnn_ppo_route_4x4,uniform,0.02,2,19.5158
gnn_ppo_route_4x4,uniform,0.02,3,19.4914
gnn_ppo_route_4x4,uniform,0.02,4,19.5141
gnn_ppo_route_4x4,uniform,0.05,0,19.5514
gnn_ppo_route_4x4,uniform,0.05,1,19.5661
gnn_ppo_route_4x4,uniform,0.05,2,19.5792
gnn_ppo_route_4x4,uniform,0.05,3,19.5683
gnn_ppo_route_4x4,uniform,0.05,4,19.5575
gnn_ppo_route_4x4,uniform,0.1,0,19.8097
gnn_ppo_route_4x4,uniform,0.1,1,19.829
gnn_ppo_route_4x4,uniform,0.1,2,19.8047
gnn_ppo_route_4x4,uniform,0.1,3,19.8137
gnn_ppo_route_4x4,uniform,0.1,4,19.8402
gnn_ppo_route_4x4,uniform,0.2,0,516.144
gnn_ppo_route_4x4,uniform,0.2,1,534.87
gnn_ppo_route_4x4,uniform,0.2,2,547.524
gnn_ppo_route_4x4,uniform,0.2,3,496.476
gnn_ppo_route_4x4,uniform,0.2,4,513.342
gnn_ppo_route_4x4,uniform,0.3,0,609.328
gnn_ppo_route_4x4,uniform,0.3,1,505.006
gnn_ppo_route_4x4,uniform,0.3,2,618.6
gnn_ppo_route_4x4,uniform,0.3,3,474.864
gnn_ppo_route_4x4,uniform,0.3,4,506.648
min_adapt,hotspot,0.01,0,20.1029
min_adapt,hotspot,0.01,1,20.1337
min_adapt,hotspot,0.01,2,20.1628
min_adapt,hotspot,0.01,3,20.1529
min_adapt,hotspot,0.01,4,20.0907
min_adapt,hotspot,0.02,0,21.6976
min_adapt,hotspot,0.02,1,21.7686
min_adapt,hotspot,0.02,2,21.6636
min_adapt,hotspot,0.02,3,21.7605
min_adapt,hotspot,0.02,4,21.7303
