topology,algorithm,traffic,inj_rate,latency,energy,status
mesh88,min_adapt,transpose,0.15,78.0237,NA,OK
mesh88,min_adapt,transpose,0.2,93.8683,NA,OK
mesh88,min_adapt,transpose,0.3,111.051,NA,OK
mesh88,min_adapt,hotspot,0.01,60.628,NA,OK
mesh88,min_adapt,hotspot,0.02,73.1969,NA,OK
mesh88,min_adapt,hotspot,0.05,157.862,NA,OK
mesh88,min_adapt,hotspot,0.1,245.491,NA,OK
mesh88,min_adapt,hotspot,0.15,316.35,NA,OK
mesh88,min_adapt,hotspot,0.2,350.807,NA,OK
mesh88,min_adapt,hotspot,0.3,397.651,NA,OK
mesh88,valiant,uniform,0.01,59.4623,NA,OK
mesh88,valiant,uniform,0.02,58.9935,NA,OK
mesh88,valiant,uniform,0.05,64.1382,NA,OK
mesh88,valiant,uniform,0.1,124.467,NA,OK
mesh88,valiant,uniform,0.15,191.557,NA,OK
mesh88,valiant,uniform,0.2,236.287,NA,OK
mesh88,valiant,uniform,0.3,328.49,NA,OK
mesh88,valiant,transpose,0.01,59.8138,NA,OK
mesh88,valiant,transpose,0.02,59.8637,NA,OK
mesh88,valiant,transpose,0.05,62.4604,NA,OK
mesh88,valiant,transpose,0.1,78.2,NA,OK
mesh88,valiant,transpose,0.15,80.4015,NA,OK
mesh88,valiant,transpose,0.2,85.5433,NA,OK
mesh88,valiant,transpose,0.3,121.401,NA,OK
mesh88,valiant,hotspot,0.01,121.667,NA,OK
mesh88,valiant,hotspot,0.02,195.496,NA,OK
mesh88,valiant,hotspot,0.05,333.398,NA,OK
mesh88,valiant,hotspot,0.1,390.718,NA,OK
mesh88,valiant,hotspot,0.15,402.398,NA,OK
mesh88,valiant,hotspot,0.2,415.892,NA,OK
mesh88,valiant,hotspot,0.3,407.831,NA,OK
torus44,dor,uniform,0.01,NA,NA,SATURATED
torus44,dor,uniform,0.02,NA,NA,SATURATED
torus44,dor,uniform,0.05,NA,NA,SATURATED
torus44,dor,uniform,0.1,NA,NA,SATURATED
torus44,dor,uniform,0.15,NA,NA,SATURATED
torus44,dor,uniform,0.2,NA,NA,SATURATED
torus44,dor,uniform,0.3,NA,NA,SATURATED
torus44,dor,transpose,0.01,NA,NA,SATURATED
torus44,dor,transpose,0.02,NA,NA,SATURATED
torus44,dor,transpose,0.05,NA,NA,SATURATED
torus44,dor,transpose,0.1,NA,NA,SATURATED
torus44,dor,transpose,0.15,NA,NA,SATURATED
torus44,dor,transpose,0.2,NA,NA,SATURATED
torus44,dor,transpose,0.3,NA,NA,SATURATED
torus44,dor,hotspot,0.01,NA,NA,SATURATED
torus44,dor,hotspot,0.02,NA,NA,SATURATED
torus44,dor,hotspot,0.05,NA,NA,SATURATED
torus44,dor,hotspot,0.1,NA,NA,SATURATED
torus44,dor,hotspot,0.15,NA,NA,SATURATED
torus44,dor,hotspot,0.2,NA,NA,SATURATED
torus44,dor,hotspot,0.3,NA,NA,SATURATED
torus44,adaptive_xy_yx,uniform,0.01,NA,NA,SATURATED
torus44,adaptive_xy_yx,uniform,0.02,NA,NA,SATURATED
torus44,adaptive_xy_yx,uniform,0.05,NA,NA,SATURATED
torus44,adaptive_xy_yx,uniform,0.1,NA,NA,SATURATED
torus44,adaptive_xy_yx,uniform,0.15,NA,NA,SATURATED
torus44,adaptive_xy_yx,uniform,0.2,NA,NA,SATURATED
torus44,adaptive_xy_yx,uniform,0.3,NA,NA,SATURATED
torus44,adaptive_xy_yx,transpose,0.01,NA,NA,SATURATED
torus44,adaptive_xy_yx,transpose,0.02,NA,NA,SATURATED
torus44,adaptive_xy_yx,transpose,0.05,NA,NA,SATURATED
torus44,adaptive_xy_yx,transpose,0.1,NA,NA,SATURATED
torus44,adaptive_xy_yx,transpose,0.15,NA,NA,SATURATED
torus44,adaptive_xy_yx,transpose,0.2,NA,NA,SATURATED
torus44,adaptive_xy_yx,transpose,0.3,NA,NA,SATURATED
torus44,adaptive_xy_yx,hotspot,0.01,NA,NA,SATURATED
torus44,adaptive_xy_yx,hotspot,0.02,NA,NA,SATURATED
torus44,adaptive_xy_yx,hotspot,0.05,NA,NA,SATURATED
torus44,adaptive_xy_yx,hotspot,0.1,NA,NA,SATURATED
torus44,adaptive_xy_yx,hotspot,0.15,NA,NA,SATURATED
torus44,adaptive_xy_yx,hotspot,0.2,NA,NA,SATURATED
torus44,adaptive_xy_yx,hotspot,0.3,NA,NA,SATURATED
torus44,min_adapt,uniform,0.01,18.4706,NA,OK
torus44,min_adapt,uniform,0.02,19.7321,NA,OK
torus44,min_adapt,uniform,0.05,19.7328,NA,OK
torus44,min_adapt,uniform,0.1,20.562,NA,OK
torus44,min_adapt,uniform,0.15,22.4757,NA,OK
torus44,min_adapt,uniform,0.2,26.6422,NA,OK
torus44,min_adapt,uniform,0.3,140.699,NA,OK
torus44,min_adapt,transpose,0.01,18.6818,NA,OK
torus44,min_adapt,transpose,0.02,19.5375,NA,OK
torus44,min_adapt,transpose,0.05,20.4039,NA,OK
torus44,min_adapt,transpose,0.1,36.233,NA,OK
torus44,min_adapt,transpose,0.15,65.2639,NA,OK
torus44,min_adapt,transpose,0.2,108.583,NA,OK
torus44,min_adapt,transpose,0.3,153.342,NA,OK
torus44,min_adapt,hotspot,0.01,20.4118,NA,OK
torus44,min_adapt,hotspot,0.02,22.6541,NA,OK
torus44,min_adapt,hotspot,0.05,86.3784,NA,OK
torus44,min_adapt,hotspot,0.1,132.276,NA,OK
torus44,min_adapt,hotspot,0.15,194.228,NA,OK
torus44,min_adapt,hotspot,0.2,258.922,NA,OK
torus44,min_adapt,hotspot,0.3,329.797,NA,OK
torus44,valiant,uniform,0.01,NA,NA,SATURATED
torus44,valiant,uniform,0.02,NA,NA,SATURATED
torus44,valiant,uniform,0.05,NA,NA,SATURATED
torus44,valiant,uniform,0.1,71.582,NA,OK
torus44,valiant,uniform,0.15,163.102,NA,OK
torus44,valiant,uniform,0.2,81.6147,NA,OK
torus44,valiant,uniform,0.3,250.997,NA,OK
torus44,valiant,transpose,0.01,NA,NA,SATURATED
torus44,valiant,transpose,0.02,NA,NA,SATURATED
torus44,valiant,transpose,0.05,NA,NA,SATURATED
torus44,valiant,transpose,0.1,61.3074,NA,OK
torus44,valiant,transpose,0.15,NA,NA,SATURATED
torus44,valiant,transpose,0.2,77.765,NA,OK
torus44,valiant,transpose,0.3,69.115,NA,OK
torus44,valiant,hotspot,0.01,37.6601,NA,OK
torus44,valiant,hotspot,0.02,NA,NA,SATURATED
torus44,valiant,hotspot,0.05,NA,NA,SATURATED
torus44,valiant,hotspot,0.1,NA,NA,SATURATED
torus44,valiant,hotspot,0.15,NA,NA,SATURATED
torus44,valiant,hotspot,0.2,341.406,NA,OK
torus44,valiant,hotspot,0.3,391.504,NA,OK
